Student_ID,Age,Gender,Education_Level,Daily_Social_Media_Hours,Daily_AI_Tool_Usage_Hours,Sleep_Hours,Physical_Activity_Hours,Mental_Health_Score,Physical_Health_Score,Social_Isolation_Score,Burnout_Level,Academic_Performance_Score,Academic_Failure_Risk
STU_00001,19,Male,College,5.32,1.21,7.3,1.41,74.06,98.9,4.05,Low,88.8,0
STU_00002,16,Non-binary,High School,5.21,3.89,7.81,2.48,76.13,89.94,4.65,Moderate,50.6,0
STU_00003,25,Male,University,3.61,2.65,6.34,0.06,65.01,76.75,5.28,Low,96.67,0
STU_00004,23,Male,University,2.93,1.43,6.12,1.37,74.67,87.38,3.66,Low,85.65,0
STU_00005,20,Non-binary,College,6.52,1.64,5.23,1.14,67.74,88.04,3.25,Moderate,71.84,0
STU_00006,25,Female,University,6.04,3.67,6.4,0.0,59.82,78.03,6.31,High,82.74,0
STU_00007,17,Male,High School,1.98,1.66,7.03,4.44,83.05,97.97,2.55,Low,69.7,0
STU_00008,19,Female,College,3.42,5.1,4.82,0.0,78.76,85.95,3.7,Moderate,69.98,0
STU_00009,22,Female,University,7.85,0.7,7.12,0.4,72.6,82.53,7.05,Low,97.35,0
STU_00010,15,Female,High School,6.96,1.6,5.78,1.67,71.83,91.23,5.51,Low,84.39,0
STU_00011,19,Male,College,1.57,0.83,9.02,2.04,72.67,92.78,2.09,Low,94.77,0
STU_00012,23,Female,University,4.53,0.31,6.6,3.44,82.7,97.33,3.74,Low,61.74,0
STU_00013,23,Female,University,5.55,1.07,5.27,0.38,77.62,90.24,4.3,Low,79.25,0
STU_00014,20,Male,College,6.98,1.58,6.62,1.88,70.01,73.45,4.04,Moderate,76.26,0
STU_00015,17,Female,High School,4.82,1.74,7.86,0.64,69.99,91.66,3.86,Low,77.66,0
STU_00016,16,Male,High School,5.71,0.0,7.15,1.77,81.84,99.07,3.73,Low,84.29,0
STU_00017,20,Female,College,6.83,0.35,7.95,1.31,69.78,92.37,3.87,Low,89.45,0
STU_00018,20,Male,College,7.16,2.82,5.21,0.0,67.64,97.23,7.71,High,79.75,0
STU_00019,15,Female,High School,4.05,1.24,7.54,0.54,87.75,98.67,5.73,Low,92.78,0
STU_00020,18,Female,College,4.61,4.37,7.84,0.14,77.65,83.28,3.21,Moderate,67.2,0
STU_00021,17,Male,High School,2.6,2.07,7.32,1.75,74.39,94.22,4.64,Low,79.13,0
STU_00022,14,Male,High School,3.82,3.57,7.88,1.21,60.0,83.5,3.87,Low,81.69,0
STU_00023,20,Female,College,3.48,1.83,6.92,2.23,79.13,94.71,3.09,Low,98.12,0
STU_00024,24,Female,University,4.03,4.15,7.87,2.98,73.57,96.97,3.09,Low,70.02,0
STU_00025,18,Male,College,4.26,0.0,7.7,0.0,73.83,86.14,5.12,Low,80.75,0
STU_00026,14,Male,High School,6.53,2.69,5.89,0.0,62.71,86.77,4.2,High,99.02,0
STU_00027,24,Female,University,5.37,5.25,5.73,0.6,59.41,83.85,6.17,Moderate,53.95,0
STU_00028,17,Female,High School,1.3,0.0,8.01,2.36,64.71,98.92,2.9,Low,74.1,0
STU_00029,13,Male,High School,5.88,3.85,5.78,0.0,72.53,96.97,6.85,Moderate,45.58,0
STU_00030,24,Female,University,3.13,3.21,6.98,3.49,71.18,99.33,3.3,Low,74.77,0
STU_00031,22,Female,University,1.78,0.0,7.26,2.56,84.25,98.46,3.91,Low,89.2,0
STU_00032,18,Male,College,1.64,3.13,5.9,1.45,83.09,90.44,1.57,Low,80.89,0
STU_00033,25,Male,University,4.92,3.11,6.36,2.64,66.53,88.41,3.95,Moderate,81.64,0
STU_00034,24,Male,University,7.15,2.34,5.59,0.68,75.2,79.62,5.26,High,80.9,0
STU_00035,21,Female,College,3.97,4.55,6.77,0.0,73.52,74.78,4.1,Low,73.48,0
STU_00036,13,Female,High School,6.84,4.31,6.28,2.44,71.34,87.3,5.15,Low,69.97,0
STU_00037,23,Female,University,4.71,3.97,6.09,2.16,75.35,94.2,6.02,High,78.71,0
STU_00038,23,Male,University,0.0,5.02,6.82,2.18,82.76,97.33,2.39,Low,78.43,0
STU_00039,22,Male,University,6.03,1.04,4.84,1.62,54.66,94.26,3.31,Low,84.98,0
STU_00040,24,Female,University,3.14,1.56,7.79,0.48,84.85,91.02,4.76,Low,90.41,0
STU_00041,24,Male,University,2.47,1.31,6.41,0.0,58.64,81.37,4.02,Moderate,75.08,0
STU_00042,15,Female,High School,6.04,1.58,7.64,0.0,61.51,97.2,6.63,Moderate,78.66,0
STU_00043,24,Female,University,4.83,1.61,4.37,0.0,71.45,73.61,5.35,Moderate,81.02,0
STU_00044,19,Male,College,4.33,2.26,7.53,1.12,71.76,89.98,5.19,Low,87.66,0
STU_00045,16,Male,High School,4.74,1.81,6.23,0.0,63.27,92.83,3.42,Moderate,80.74,0
STU_00046,21,Male,College,2.38,0.54,8.72,0.0,70.57,73.75,4.13,Low,76.93,0
STU_00047,15,Male,High School,8.92,3.93,7.26,0.0,53.67,90.63,5.44,Moderate,64.56,0
STU_00048,17,Female,High School,4.93,0.92,9.46,1.16,67.42,88.01,4.45,Low,98.12,0
STU_00049,15,Male,High School,4.9,5.33,7.38,2.22,82.45,90.54,5.15,Low,76.3,0
STU_00050,19,Male,College,4.28,3.95,5.53,3.94,85.65,98.47,3.0,Low,73.09,0
STU_00051,17,Female,High School,0.46,0.38,8.55,3.71,85.75,91.24,1.63,Low,95.24,0
STU_00052,21,Male,College,2.81,2.46,7.11,0.85,85.77,99.15,2.89,Low,78.15,0
STU_00053,19,Female,College,1.44,0.0,6.43,0.0,74.04,85.14,5.27,Low,67.59,0
STU_00054,14,Male,High School,1.2,4.79,7.95,2.25,83.09,92.09,2.67,Low,69.09,0
